Name,Lat,Long
UNIAPOLIS SCHOOL OF BUSINESS,1.30091798712403,103.855247878673
UNITED WORLD COLLEGE OF SOUTH EAST ASIA,1.30334355139655,103.775149043787
UNITED WORLD COLLEGE OF SOUTH EAST ASIA - EAST,1.35809099581064,103.931292190275
UWING INTERNATIONAL SCHOOL,1.2971994707338,103.854944127996
DYNAMIC WORLD MONTESSORI SCHOOL,1.30381323183918,103.900952087099
FIRST MEDIA DESIGN SCHOOL,1.28014904629003,103.841864483047
MAGES INSTITUTE OF EXCELLENCE,1.30086543417456,103.835700848396
BAKING INDUSTRY TRAINING COLLEGE,1.28383730061235,103.817466083121
LOTUS BRIDGE INTERNATIONAL SCHOOL,1.31133514808221,103.859441823971
MANCHESTER WORLDWIDE INSTITUTE OF HIGHER EDUCATION (SOUTH EAST ASIA),1.28013740292031,103.849316395797
NANYANG ASIA COLLEGE,1.33375343199035,103.739371389964
VICTORY LIFE CHRISTIAN SCHOOL,1.313937604675,103.880707565237
WASEDA SHIBUYA SENIOR HIGH SCHOOL IN SINGAPORE,1.29646947387627,103.765854294441
WAVELINK MARITIME INSTITUTE,1.33590457478914,103.744636423955
WILLIAM ANGLISS INSTITUTE,1.30289720484193,103.840025092306
SERAPHCORP INSTITUTE,1.33590457478914,103.744636423955
AMERICAN CENTER FOR EDUCATION,1.34309109500975,103.94165461352
AMITY GLOBAL INSTITUTE,1.29656830431933,103.814257804969
ANANDA MARGA INTERNATIONAL ACADEMY,1.3218175768241,103.91774683999
THE SONGWRITER MUSIC COLLEGE,1.31492344277823,103.911125525141
J L Institution,1.30145298411228,103.85449518703
JAMES COOK UNIVERSITY,1.31595212368864,103.87627157667
JEWELLERY DESIGN & MANAGEMENT INTERNATIONAL SCHOOL,1.29738836353652,103.800729037365
CHATSWORTH INTERNATIONAL SCHOOL,1.30254775743736,103.838472662832
CITY COLLEGE,1.29869824762248,103.856036160702
THE WINSTEDT SCHOOL,1.31627845279996,103.873851160189
LODESTAR MONTESSORI SCHOOL,1.38550316358004,103.872830537911
LONDON SCHOOL OF BUSINESS & FINANCE,1.27508474969094,103.846246292598
Lufthansa Technical Training GmbH Singapore Branch,1.30665484206627,103.829588054904
FZD SCHOOL OF DESIGN,1.29288041141173,103.839650948823
G I G International School,1.30992449119631,103.841910547852
GEA INSTITUTE,1.29602158963435,103.815244593194
BAC College (Singapore),1.28818959861885,103.847110276491
SINGAPORE KOREAN INTERNATIONAL SCHOOL,1.34588671510423,103.790310697879
SINGAPORE MEDIA ACADEMY,1.29514544550044,103.792063558512
SINGAPORE RAFFLES MUSIC COLLEGE,1.27521485223536,103.801329953394
SINGAPORE SPA INSTITUTE,1.2867285259225,103.844901331261
GUILFORD TRAINING CENTRE,1.28898500989643,103.848418335576
KAPLAN HIGHER EDUCATION ACADEMY,1.30010844675228,103.849264284406
KAPLAN HIGHER EDUCATION INSTITUTE,1.30010844675228,103.849264284406
ARC LEARNING ACADEMY,1.35932650355171,103.854304482272
ARIUM SCHOOL OF ARTS AND SCIENCES,1.30289720484193,103.840025092306
NEWTON INTERNATIONAL COLLEGE,1.30107053315441,103.849176271631
NEXUS INTERNATIONAL SCHOOL (SINGAPORE),1.32003446998493,103.775768497205
Ngee Ann Academy,1.30242416552881,103.834676129269
OCEAN BUSINESS SCHOOL,1.30832699603019,103.862005880934
OMEGA INTERNATIONAL COLLEGE,1.30221156595953,103.852496454732
ONE WORLD INTERNATIONAL SCHOOL,1.34761306715972,103.694769259962
ONG TENG CHEONG LABOUR LEADERSHIP INSTITUTE,1.28228765733052,103.852428737102
PERFECT INTERNATIONAL BEAUTY & COSMETOLOGY ACADEMY,1.28413390917012,103.842519572814
PROTHERAPIST ACADEMY,1.28435984023646,103.849861198386
PSB ACADEMY,1.29145525906521,103.857007341008
RAFFLES COLLEGE OF HIGHER EDUCATION,1.28892252133412,103.843446041526
RAFFLES SKILLS LAB INTERNATIONAL TRAINING CENTRE,1.32188556778472,103.870318570635
REAL ESTATE AND CONSTRUCTION ACADEMY,1.33590457478914,103.744636423955
AALTO EXECUTIVE EDUCATION ACADEMY,1.29402129788689,103.84964182304
AALTO EXECUTIVE EDUCATION ACADEMY,1.29846964717118,103.854866953812
RHA Academy,1.28407802053954,103.813672736823
RHT ACADEMY,1.2745078714975,103.8457102267
RUTGERS BUSINESS SCHOOL ASIA PACIFIC,1.27816985587238,103.848096104337
INSTITUTE OF CHINESE MEDICAL STUDIES,1.31274662026416,103.876580575253
INSTITUTE OF MARITIME AND BUSINESS MANAGEMENT,1.30107053315441,103.849176271631
INTERNATIONAL MANAGEMENT AND SPORTS COLLEGE,1.30384326764684,103.872750711332
EDULEARN INTERNATIONAL COLLEGE,1.30107053315441,103.849176271631
EDUPROSPECT DEVELOPMENT COLLEGE,1.30408565807687,103.850014184103
GENESIS SCHOOL FOR SPECIAL EDUCATION,1.29264334042049,103.767393904109
GERMAN EUROPEAN SCHOOL SINGAPORE,1.3653831753807,103.773181985149
GERMAN INSTITUTE OF SCIENCE AND TECHNOLOGY - TUM ASIA,1.31123994786285,103.774471404046
GLOBAL INDIAN INTERNATIONAL SCHOOL,1.39011292651454,103.911711292705
GLOBAL SCHOOL OF TECHNOLOGY & MANAGEMENT,1.2971994707338,103.854944127996
GLOBAL TRAINING SERVICES,1.30107053315441,103.849176271631
NPS INTERNATIONAL SCHOOL,1.33075784315057,103.919366898841
NTUC LEARNINGHUB,1.29673246048,103.851501247416
EDUQUEST INTERNATIONAL INSTITUTE,1.30107053315441,103.849176271631
EF INTERNATIONAL LANGUAGE SCHOOLS,1.28829111626136,103.847922207547
KIMAGE HAIRDRESSING SCHOOL,1.29145525906521,103.857007341008
KINDLE KIDS INTERNATIONAL SCHOOL,1.33315018142583,103.839049711393
ISS INTERNATIONAL SCHOOL,1.280633327334,103.805691385754
KINGSTON INTERNATIONAL SCHOOL,1.27521485223536,103.801329953394
KITS4KIDS SPECIAL SCHOOL,1.37805614217621,103.738931802142
KLC INTERNATIONAL INSTITUTE,1.35092353596104,103.873968290142
KTC ACCOUNTANTS INSTITUTE,1.33472214382377,103.740041228689
LASALLE COLLEGE OF THE ARTS,1.30285513249515,103.851555432161
LITHAN ACADEMY,1.31945232696276,103.892134996908
ESSEC,1.30288572941281,103.787701216934
ETONHOUSE INTERNATIONAL SCHOOL,1.30577217257002,103.88967737255
EVERSAFE ACADEMY,1.33387420663247,103.697221386254
S P JAIN SCHOOL OF GLOBAL MANAGEMENT,1.28002308616064,103.801273724498
SINGAPORE COLLEGE OF TRADITIONAL CHINESE MEDICINE,1.33222278662206,103.851195475339
INTERNATIONAL MANAGEMENT SCHOOL,1.3086568500848,103.858064370694
INVICTUS INTERNATIONAL SCHOOL,1.30143697311611,103.812264230328
