name,lat,long
Admiralty Secondary School,1.44589068910993,103.802398196596
Ahmad Ibrahim Secondary School,1.43605975368804,103.829718690077
Anderson Secondary School,1.37434001701177,103.851554107068
Anglican High School,1.33118107926966,103.941853465631
Anglo-Chinese School (Barker Road),1.31961649151328,103.835772689988
Anglo-Chinese School (Independent),1.30370409257783,103.780363417671
Ang Mo Kio Secondary School,1.36733710171069,103.842154973672
Assumption English School,1.36838160662857,103.766687526556
Bartley Secondary School,1.33995415587811,103.882806211705
Beatty Secondary School,1.341790284928,103.852280842345
Bedok Green Secondary School,1.33451947288431,103.935028383346
Bedok South Secondary School,1.32513655159184,103.950989139261
Bedok View Secondary School,1.32415704029686,103.943776245024
Bendemeer Secondary School,1.32461111307996,103.860970284401
Boon Lay Secondary School,1.34272216334333,103.701891453912
Bowen Secondary School,1.37035994436209,103.877659577677
Broadrick Secondary School,1.30705061123433,103.886917922608
Bukit Batok Secondary School,1.34849111079052,103.74087370482
Bukit Merah Secondary School,1.28569283064288,103.813438929393
Bukit Panjang Government High School,1.38224243360043,103.738361221869
Bukit View Secondary School,1.3457330554294,103.752226593984
Catholic High School,1.3547230747166,103.844874676599
Canberra Secondary School,1.45319086315972,103.814203583818
Cedar Girls' Secondary School,1.33375800216334,103.873933064886
Changkat Changi Secondary School,1.33950630072876,103.953245525564
CHIJ Katong Convent (Secondary),,
CHIJ Secondary (Toa Payoh),1.33246079948303,103.843271625083
CHIJ St. Joseph's Convent,1.39175222260369,103.902464991543
CHIJ St. Nicholas Girls' School,1.37347687878916,103.834253269436
CHIJ St. Theresa's Convent,1.27535177510054,103.822440701642
Chua Chu Kang Secondary School,1.38333422637073,103.75510327583
Christ Church Secondary School,1.42656780901455,103.793451105242
Chung Cheng High School (Main),1.30509154753048,103.891653229373
Chung Cheng High School (Yishun),1.41922603586175,103.837390782849
Clementi Town Secondary School,1.31553912945073,103.762020598524
Commonwealth Secondary School,1.31920395934801,103.745637393049
Compassvale Secondary School,1.39614083952009,103.899847164494
Crescent Girls' School,1.29331947077104,103.817544461755
Damai Secondary School,1.33692798510393,103.927091653438
Deyi Secondary School,1.36599702567717,103.852545772422
Dunearn Secondary School,1.36357900792871,103.74472109107
Dunman High School,1.29996216014962,103.88294155989
Dunman Secondary School,1.36065258337022,103.956213906966
East Spring Secondary School,1.35622508992581,103.960640700298
Edgefield Secondary School,1.40059309981824,103.902687385465
Evergreen Secondary School,1.44149131273737,103.794137756171
Fairfield Methodist Secondary School,1.30163374395823,103.784099647149
Fuchun Secondary School,,
Fuhua Secondary School,1.34701408913756,103.72652089832
Gan Eng Seng School,1.28559516494962,103.815547410064
Geylang Methodist School (Secondary),1.31764900474601,103.882661129303
Greendale Secondary School,1.39696019936894,103.91170014084
Greenridge Secondary School,1.375600053443,103.763998914082
Guangyang Secondary School,1.34440856042912,103.850208933626
Hai Sing Catholic School,1.36933055696636,103.962762942764
Hillgrove Secondary School,1.35273576615912,103.752986488399
Holy Innocents' High School,1.37154508822261,103.896398814264
Hougang Secondary School,1.37764019332164,103.882533963338
Hua Yi Secondary School,1.35234365488339,103.721832320169
Hwa Chong Institution,1.3249477928719,103.805704361472
Junyuan Secondary School,1.35361315263537,103.933886165824
