name,lat,long
Anderson Serangoon Junior College,1.36504342002442,103.887038809373
Anglo-Chinese Junior College,1.30304255193392,103.785358436408
Anglo-Chinese IB Junior College,,
Catholic Junior College,1.32455605783219,103.835028842353
Dunman High School,1.29996216014962,103.88294155989
Eunoia Junior College,1.36213757183547,103.841286169122
Hwa Chong Institution,1.3249477928719,103.805704361472
Jurong Pioneer Junior College,1.38437406410733,103.75437461519
Nanyang Junior College,1.35028314949236,103.866498721912
National Junior College,1.33029291072172,103.804110905425
Raffles Institution,1.34618775847486,103.845875110532
River Valley High School,1.34407801149725,103.709022156436
Saint Andrew's Junior College,1.33306515740956,103.863576377056
St. Joseph's Institution,1.29725759853987,103.851023580389
Tampines Meridian Junior College,1.37633346909682,103.936990723441
Temasek Junior College,1.35728017255861,103.956185936394
Victoria Junior College,1.30670174177479,103.919982704149
Yishun Innova Junior College,1.42426692572335,103.83003171149
