Name,Lat,Long
Bukit Canberra Sport Centre,1.44826336187663,103.822763637644
Bukit Gombak Sport Centre,1.35979953416425,103.752170222868
Burghley Squash & Tennis Centre,1.35939081059595,103.860486526266
Choa Chu Kang Sport Centre,1.39066617023504,103.74792070975
Clementi Sport Centre,1.3110149773938,103.764861412972
Clementi Stadium,1.30967486413142,103.762488576067
Delta Sport Centre,1.28918219836408,103.819992906032
Geylang East Swimming Complex,1.32097767423067,103.887650375643
Heartbeat@Bedok ActiveSG Sport Centre,1.32698498848449,103.931620621577
Hougang Sport Centre,1.3705734851444,103.88807173322
Jalan Besar Sport Centre,1.31085490234655,103.859961713025
Jurong East Sport Centre,1.34621560865382,103.728835257122
Jurong Lake Gardens ActiveSG Gym & Pool,1.33050511056726,103.72564386067
Jurong West Sport Centre,1.33841806131036,103.693768903089
Kallang Basin Swimming Complex,1.32255951095461,103.872491025333
ActiveSG Sport Park @ Bedok North,1.32638078880159,103.936715997267
ActiveSG Gym@Ang Mo Kio Community Centre,1.36683348076669,103.840668130336
ActiveSG Gym@Enabling Village,1.28668026511187,103.813766346615
ActiveSG Gym@Fernvale Square,1.39142203528113,103.873115604064
ActiveSG Gym@Serangoon Central,1.35246731001924,103.872102771725
ActiveSG Gym@Toa Payoh,1.33750504672457,103.844905447177
ActiveSG Gym@Toa Payoh West Community Centre,1.3353827124599,103.844830875826
ActiveSG Hockey Village @ Boon Lay,1.34775854401013,103.711179884181
ActiveSG Sport Village@Jurong Town,1.33222922305494,103.720201118607
Ang Mo Kio Swimming Complex,1.36330227163263,103.849666754353
Bedok Stadium,1.32609867478951,103.938818760925
Bishan Sport Centre,1.35528262669744,103.850922078347
Bishan Clubhouse,1.3550750193035,103.849990451996
Bukit Batok Swimming Complex,1.34433159103382,103.747954227601
Kallang Sport Centre,1.30565165875547,103.878755652948
Katong Swimming Complex,1.30210563408213,103.886081879524
MOE (Evans),1.3184618711116,103.819071159688
Tampines Sport Centre,1.35349615471813,103.939683594446
Pasir Ris Sport Centre,1.37444845586213,103.95182250671
Queenstown Sport Centre,1.29680033222073,103.802388516812
Sengkang Sport Centre,1.39546568752975,103.885777121845
Senja-Cashew Sport Centre,1.38158679008906,103.76465958417
Serangoon Sport Centre,1.35703898057386,103.874593862669
St. Wilfred Sport Centre,1.32522688173154,103.861719013017
Toa Payoh Sport Centre,1.33060009023707,103.849986784647
Woodlands SC,1.43489537884401,103.780306578222
Yan Kit Playfield,1.27632290858823,103.842195029496
Yio Chu Kang Sport Centre,1.38227243839845,103.845767851183
Yishun Sport Centre,1.4120183648412,103.831177400105
Yishun Swimming Complex,1.42406331840536,103.833692367151
